oid,cid,tna,tid,rnk,lng,lat,env,lt1,ldc,tpm,tps,tpt,cct,gsc,ccx,ccd,cnm,aut,pby,oei,guild,genus,collection_no,body_fossil,is_ootaxon
occ:1328399,col:51972,Tarbosaurus bataar,txn:63705,3.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,snapshot,taxonomic,small collection,"mechanical,field collection,survey of museum collection","1946, 1948–1949",Nemegt locality (PIN coll. 551) [MPE],Maleev,1955,Maastrichtian,predator,Tarbosaurus,51972,True,False
occ:1333016,col:179625,Tarbosaurus bataar,txn:63705,3.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Gradzinski et al.,1977,Maastrichtian,predator,Tarbosaurus,179625,True,False
occ:1333017,col:179625,Therizinosaurus cheloniformis,txn:66673,3.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Gradzinski et al.,1977,Maastrichtian,predator,Therizinosaurus,179625,True,False
occ:1333018,col:179625,Theropoda,txn:38513,25.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Gradzinski et al.,1977,Maastrichtian,predator,,179625,True,False
occ:1333019,col:179625,Saurolophus angustirostris,txn:64295,3.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Gradzinski et al.,1977,Maastrichtian,herbivore,Saurolophus,179625,True,False
occ:1333020,col:179625,Tarchia teresae,txn:378705,3.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Penkalski and Tumanova,2017,Maastrichtian,herbivore,Tarchia,179625,True,False
occ:1333488,col:13347,Subtiliolithus microtuberculatus,txn:86627,3.0,99.926941,43.720554,terrestrial indet.,sandstone,,body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1967-1968, 1981–1983","Haichin Ula I [SMGE, SMPE] (PIN coll. 4230)",Mikhailov,1991,Maastrichtian,predator,Subtiliolithus,13347,True,False
occ:1333495,col:165580,Spheroolithidae,txn:67194,9.0,100.366669,43.479168,terrestrial indet.,"""siliciclastic""",,body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1948–1949, 1967–1969",Tsagan Hushu [MPE/SMGE] (PIN coll. 552),Mikhailov et al.,1994,Maastrichtian,herbivore,,165580,True,False
occ:1333496,col:165580,Elongatoolithus excellens,txn:84319,3.0,100.366669,43.479168,terrestrial indet.,"""siliciclastic""",,body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1948–1949, 1967–1969",Tsagan Hushu [MPE/SMGE] (PIN coll. 552),Mikhailov,1994,Maastrichtian,predator,Elongatoolithus,165580,True,True
occ:1333503,col:179625,Elongatoolithidae,txn:65566,9.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Mikhailov et al.,1994,Maastrichtian,predator,,179625,True,False
occ:1336814,col:180299,Ankylosauridae,txn:38831,9.0,100.452782,43.586666,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 7 [PMPE]",Maryanska,1977,Maastrichtian,herbivore,,180299,True,False
occ:1337487,col:180471,Nemegtosaurus mongoliensis,txn:54841,3.0,101.047775,43.503334,terrestrial indet.,sandstone,"""yellowish sandstone, resting upon the 'unfossiliferous' red sandstone""; ""upper sand with silt intercalations""",body,parautochthonous,time-averaged,taxonomic,small collection,"selective quarrying,mechanical,field collection",1965,"Nemegt, Central Sayr, site 6 [PMPE]",Nowinski,1971,Maastrichtian,herbivore,Nemegtosaurus,180471,True,False
occ:1337488,col:180472,Gallimimus bullatus,txn:57265,3.0,101.047775,43.502499,terrestrial indet.,conglomerate,"""yellowish sandstone, resting upon the 'unfossiliferous' red sandstone""; ""upper sand with silt intercalations""",body,parautochthonous,time-averaged,taxonomic,small collection,"selective quarrying,mechanical,field collection",1965,"Nemegt, Central Sayr, site 5 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180472,True,False
occ:1337489,col:180473,Homalocephale calathocercos,txn:52836,3.0,101.044998,43.50528,terrestrial indet.,conglomerate,"""yellowish sandstone, resting upon the 'unfossiliferous' red sandstone""; ""upper sand with silt intercalations""",body,parautochthonous,time-averaged,taxonomic,small collection,"selective quarrying,mechanical,field collection",1965,"Nemegt, Western Sayr, site 8 [PMPE]",Maryańska and Osmólska,1974,Maastrichtian,herbivore,Homalocephale,180473,True,False
occ:1337490,col:180474,Gallimimus bullatus,txn:57265,3.0,101.04583,43.503056,terrestrial indet.,conglomerate,"""yellowish sandstone, resting upon the 'unfossiliferous' red sandstone""; ""upper sand with silt intercalations""",body,parautochthonous,time-averaged,taxonomic,small collection,"selective quarrying,mechanical,field collection",1965,"Nemegt, Western Sayr, site 7 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180474,True,False
occ:1337491,col:180475,Gallimimus bullatus,txn:57265,3.0,101.029846,43.519463,terrestrial indet.,sandstone,"""upper sandstone with silt intercalations""",body,autochthonous,time-averaged,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1964–1965,"Nemegt, Western Sayr, site 11 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180475,True,False
occ:1338362,col:180679,Gallimimus bullatus,txn:57265,3.0,101.045555,43.515556,terrestrial indet.,sandstone,"""sands with silt intercalations""",body,,,general faunal/floral,small collection,"selective quarrying,surface (in situ),field collection",1964–1965,"Nemegt, Northern Sayr, site 9 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180679,True,False
occ:1338363,col:180680,Tarbosaurus bataar,txn:63705,3.0,101.045555,43.516388,terrestrial indet.,sandstone,"""sands with silt intercalations""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,surface (in situ),field collection",1964–1965,"Nemegt, Northern Sayr, site 10 [PMPE]",Currie,2016,Maastrichtian,predator,Tarbosaurus,180680,True,False
occ:1338364,col:180681,Tarbosaurus bataar,txn:63705,3.0,101.052498,43.504723,terrestrial indet.,sandstone,"""light sandstone with gravel""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1964–1965,"Nemegt, Central Sayr, site 2 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,180681,True,False
occ:1338365,col:180682,Tarbosaurus bataar,txn:63705,3.0,101.053612,43.502499,terrestrial indet.,sandstone,"""light sandstone with gravel""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",15-22 Jul 1965; 2011,"Nemegt, Central Sayr, site 3 [PMPE]",Currie,2016,Maastrichtian,predator,Tarbosaurus,180682,True,False
occ:1338366,col:180683,Gallimimus bullatus,txn:57265,3.0,101.051109,43.499443,terrestrial indet.,sandstone,"""upper sand with silt intercalations""",body,parautochthonous,time-averaged,taxonomic,small collection,"selective quarrying,mechanical,field collection",1964–1965,"Nemegt, Central Sayr, site 4 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180683,True,False
occ:1338367,col:180684,Tarbosaurus bataar,txn:63705,3.0,101.029724,43.52639,terrestrial indet.,sandstone,"""upper sandstone with silt intercalations""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Western Sayr, site 31 [PMPE]",Gradzinski and Jerzykiewicz,1972,Maastrichtian,predator,Tarbosaurus,180684,True,False
occ:1338409,col:180698,Elmisaurus rarus,txn:54560,3.0,101.04361,43.528057,terrestrial indet.,conglomerate,"""gravels""",body,parautochthonous,snapshot,taxonomic,small collection,"mechanical,field collection",1970,"Nemegt, Northern Sayr, site 13 [PMPE]",Osmolska,1981,Maastrichtian,predator,Elmisaurus,180698,True,False
occ:1338410,col:180699,Tarbosaurus bataar,txn:63705,3.0,101.041389,43.529167,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1970,"Nemegt, Northern Sayr, site 24 [PMPE]",Gradzinski and Jerzykiewicz,1972,Maastrichtian,predator,Tarbosaurus,180699,True,False
occ:1338411,col:180700,Tarbosaurus bataar,txn:63705,3.0,101.032219,43.528057,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1970,"Nemegt, Western Sayr, site 29 [PMPE]",Gradzinski and Jerzykiewicz,1972,Maastrichtian,predator,Tarbosaurus,180700,True,False
occ:1338412,col:180701,Gallimimus bullatus,txn:57265,3.0,101.04583,43.513058,terrestrial indet.,sandstone,sandstone,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Northern Sayr, site 21 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180701,True,False
occ:1338413,col:180702,Saurolophus angustirostris,txn:64295,3.0,101.04583,43.525276,terrestrial indet.,sandstone,"""sands with silt intercalations""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1970,"Nemegt, Northern Sayr, site 28 [PMPE]",Gradzinski and Jerzykiewicz,1972,Maastrichtian,herbivore,Saurolophus,180702,True,False
occ:1338414,col:180703,Saurolophus angustirostris,txn:64295,3.0,101.041664,43.537224,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Northern Sayr, site 27 [PMPE]",Gradzinski and Jerzykiewicz,1972,Maastrichtian,herbivore,Saurolophus,180703,True,False
occ:1338417,col:180706,Prenocephale prenes,txn:52833,3.0,101.035278,43.539444,terrestrial indet.,not reported,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"northern Nemegt, site 19 [PMPE]",Maryańska and Osmólska,1974,Maastrichtian,herbivore,Prenocephale,180706,True,False
occ:1338418,col:180707,Gallimimus bullatus,txn:57265,3.0,101.036392,43.538055,terrestrial indet.,not reported,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"northern Nemegt, site 20 [PMPE]",Currie,2016,Maastrichtian,predator,Gallimimus,180707,True,False
occ:1338419,col:180709,Gallimimus bullatus,txn:57265,3.0,101.037781,43.539722,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"northern Nemegt, site 25 [PMPE]",Currie,2016,Maastrichtian,predator,Gallimimus,180709,True,False
occ:1338420,col:180710,Tarbosaurus bataar,txn:63705,3.0,101.031387,43.520557,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Western Sayr, site 30 [PMPE]",Gradzinski and Jerzykiewicz,1972,Maastrichtian,predator,Tarbosaurus,180710,True,False
occ:1338567,col:37007,Tarbosaurus,txn:53224,5.0,100.374809,43.44128,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964,"Tsagan Hushu, site 5 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,37007,True,False
occ:1338568,col:180784,Gallimimus bullatus,txn:57265,3.0,100.360558,43.481945,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964,"Tsagan Hushu, site 1 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180784,True,False
occ:1338569,col:180785,Gallimimus bullatus,txn:57265,3.0,100.374809,43.44128,terrestrial indet.,siltstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Tsagan Hushu, site 6 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180785,True,False
occ:1338571,col:180786,Hadrosauridae,txn:38755,9.0,100.373161,43.443558,terrestrial indet.,sandstone,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",1963–1965,"Tsagan Hushu, general [PMPE]",Kielan-Jaworowska and Kowalski,1965,Maastrichtian,herbivore,,180786,True,False
occ:1338652,col:180811,Gallimimus bullatus,txn:57265,3.0,100.457222,43.597221,terrestrial indet.,not reported,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 8 [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,180811,True,False
occ:1338653,col:180812,Tarbosaurus bataar,txn:63705,3.0,100.455833,43.604721,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 11 [PMPE]",Currie,2016,Maastrichtian,predator,Tarbosaurus,180812,True,False
occ:1338654,col:180813,Tarbosaurus bataar,txn:63705,3.0,100.452225,43.601391,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 12 [PMPE]",Currie,2016,Maastrichtian,predator,Tarbosaurus,180813,True,False
occ:1338656,col:37020,Dinosauria,txn:52775,25.0,100.456665,43.601665,terrestrial indet.,not reported,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection",1970-1971,"Altan Ula IV, general [PMPE]",Kielan-Jaworowska and Barsbold,1972,Maastrichtian,herbivore,,37020,True,False
occ:1350013,col:65347,Adasaurus mongoliensis,txn:57261,3.0,99.599998,43.540001,terrestrial indet.,sandstone,,body,autochthonous,snapshot,paleoecologic,small collection,"surface (in situ),mechanical,field collection",1967–1968,Bugin Tsav [SMPE/SMGE],Barsbold,1983,Maastrichtian,predator,Adasaurus,65347,True,False
occ:1429043,col:55257,Elmisaurus rarus,txn:54560,3.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Barsbold et al.,2000,Maastrichtian,predator,Elmisaurus,55257,True,False
occ:1431808,col:179625,Coralloidoolithus verrucarius,txn:84310,3.0,99.833054,43.474724,eolian indet.,not reported,,body,,,general faunal/floral,outcrop,field collection,1972,"Khermin Tsav, Upper White Beds (PIN coll. 3142) [SMPE]",Mikhailov,1994,Maastrichtian,herbivore,Coralloidoolithus,179625,True,True
occ:1432424,col:199805,Gobiraptor minutus,txn:381604,3.0,100.333336,43.5,fluvial indet.,sandstone,"""gray blue silt-fine-grained sandstone beds""; ""alternation of sandstone and mudstone layers, with intercalations of conglomerate layers (grain size is granule).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006–2008,Altan Ula III [KID],Lee et al.,2019,Maastrichtian,predator,Gobiraptor,199805,True,False
occ:1432425,col:199805,Nemegtonykus citus,txn:424534,3.0,100.333336,43.5,fluvial indet.,sandstone,"""gray blue silt-fine-grained sandstone beds""; ""alternation of sandstone and mudstone layers, with intercalations of conglomerate layers (grain size is granule).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006–2008,Altan Ula III [KID],Lee et al.,2019,Maastrichtian,predator,Nemegtonykus,199805,True,False
occ:1447893,col:73437,Rinchenia mongoliensis,txn:57021,3.0,100.477776,43.572224,terrestrial indet.,not reported,,body,,,taxonomic,small collection,"mechanical,peel or thin section,survey of museum collection",1948–1949,Altan Ula II [SMPE] (PIN coll. 553),Currie,2000,Maastrichtian,predator,Rinchenia,73437,True,False
occ:1448748,col:65335,Macroolithus rugustus,txn:67191,3.0,100.484444,43.849724,terrestrial indet.,not reported,,"body,soft parts",autochthonous,snapshot,taxonomic,small collection,"surface (in situ),field collection","1980, 1987",Gooreeliyn-Tsav [SMPE/SMGE[,Mikhailov,2000,Maastrichtian,predator,Macroolithus,65335,True,True
occ:1448749,col:165580,Macroolithus rugustus,txn:67191,3.0,100.366669,43.479168,terrestrial indet.,"""siliciclastic""",,body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1948–1949, 1967–1969",Tsagan Hushu [MPE/SMGE] (PIN coll. 552),Mikhailov,2000,Maastrichtian,predator,Macroolithus,165580,True,True
occ:1449333,col:65335,Saurolophus angustirostris,txn:64295,3.0,100.484444,43.849724,terrestrial indet.,not reported,,"body,soft parts",autochthonous,snapshot,taxonomic,small collection,"surface (in situ),field collection","1980, 1987",Gooreeliyn-Tsav [SMPE/SMGE[,Kurzanov,1993,Maastrichtian,herbivore,Saurolophus,65335,True,False
occ:1466629,col:37020,Protoceratopsidae,txn:38845,9.0,100.456665,43.601665,terrestrial indet.,not reported,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection",1970-1971,"Altan Ula IV, general [PMPE]",Sabath,1991,Maastrichtian,herbivore,,37020,True,False
occ:1466630,col:180786,Elongatoolithidae,txn:65566,9.0,100.373161,43.443558,terrestrial indet.,sandstone,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",1963–1965,"Tsagan Hushu, general [PMPE]",Sabath,1991,Maastrichtian,predator,,180786,True,False
occ:1477166,col:206054,Ankylosauridae,txn:38831,9.0,100.503891,43.598057,terrestrial indet.,not reported,,"body,mold/impression",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","2008, 2007",Altan Ula II [KID],Arbour et al.,2014,Maastrichtian,herbivore,,206054,True,False
occ:1477167,col:206055,Ankylosauridae,txn:38831,9.0,101.281944,43.985279,terrestrial indet.,not reported,,body,,,general faunal/floral,outcrop,"surface (float),field collection","2008, 2010",Khuree Tsav [KID],Arbour et al.,2014,Maastrichtian,herbivore,,206055,True,False
occ:1477168,col:206057,Ankylosauridae,txn:38831,9.0,99.976669,43.816387,terrestrial indet.,not reported,,body,,,general faunal/floral,outcrop,"surface (in situ),field collection",2008,southwest of Bugin Tsav  [KID],Arbour et al.,2014,Maastrichtian,herbivore,,206057,True,False
occ:1521057,col:199805,Mononykus,txn:53210,5.0,100.333336,43.5,fluvial indet.,sandstone,"""gray blue silt-fine-grained sandstone beds""; ""alternation of sandstone and mudstone layers, with intercalations of conglomerate layers (grain size is granule).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006–2008,Altan Ula III [KID],Lee et al.,2019,Maastrichtian,predator,Mononykus,199805,True,False
occ:1540233,col:52008,Oksoko avarsan,txn:430729,3.0,99.599998,43.540001,terrestrial indet.,not reported,,body,,snapshot,taxonomic,small collection,field collection,1970s,Bugin Tsav [SMPE],Funston et al.,2020,Maastrichtian,predator,Oksoko,52008,True,False
occ:1564994,col:38695,Tarbosaurus bataar,txn:63705,3.0,100.48278,43.566387,terrestrial indet.,sandstone,"""a poorly indurated, fine sandstone approximately 35 cm thick""",body,autochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection","1965, 2008","Altan Ula III, site 2 [PMPE]",Bell et al.,2012,Maastrichtian,predator,Tarbosaurus,38695,True,False
occ:1564998,col:220943,Saurolophus,txn:38768,5.0,100.566101,43.608898,terrestrial indet.,not reported,,"body,soft parts",,,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection","1948–1949, 2008–2010","Dragon's Tomb, Altan Ula II [SMPE/KID]",Bell,2012,Maastrichtian,herbivore,Saurolophus,220943,True,False
occ:1566024,col:55257,Elmisaurus rarus,txn:54560,3.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Funston et al.,2021,Maastrichtian,predator,Elmisaurus,55257,True,False
occ:1566047,col:221153,Avimimus nemegtensis,txn:439830,3.0,101.0392,43.481899,coarse channel fill,sandstone,"""associated with the lower portions of sigmoidal and offlapping inclined beds of silty, pebbly, fine- to medium-grained sandstone (Fig. 2). Two types of matrix surround the bonebed. The base of the bonebed is a fine-grained sandstone, which is overlain by a coarse-grained sandstone with some clay rip-up clasts. Inclined beds are typically less than 5 cm thick, exhibit a total vertical relief of 40 cm, and dip toward the south and southwest, suggesting that they are offlapping deposits of a migrating point bar in a meandering river channel. Large-scale trough cross beds drape the toes of the point bar and immediately overlie the bonebed. Paleocurrent data collected from them indicate that flow at the base of the point-bar was toward the west-southwest, ranging from 240–280°. Bones are preserved in both matrix types, and some bones span the contact between the layers.""",body,autochthonous,snapshot,taphonomic,small collection,"selective quarrying,surface (in situ),field collection","2006–2007, 2016","Avimimus bonebed, Nemegt",Funston et al.,2018,Early Maastrichtian,predator,Avimimus,221153,True,False
occ:1569874,col:180786,Saurolophus angustirostris,txn:64295,3.0,100.373161,43.443558,terrestrial indet.,sandstone,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",1963–1965,"Tsagan Hushu, general [PMPE]",Kremer et al.,2012,Maastrichtian,herbivore,Saurolophus,180786,True,False
occ:1586028,col:224071,Dinosauria,txn:52775,25.0,100.619003,43.473999,eolian indet.,sandstone,"""Carbonate-rich sandstones of horizontal redbeds up to 2.1 m thick represent mud ̄ow sediments...They are not internally strati®ed, and lack lamination or cross bedding. The redbed matrix is formed by inequigranular, fine- to medium-grained sand with silt ????up to 30%) and clay ????up to 15%). The sand is mainly formed by quartz and feldspar with minor light mica, limonite, calcite, and gypsum.""",body,parautochthonous,,taphonomic,local area,"surface (in situ),peel or thin section,field collection,observed (not collected)",,6 km northeast of Naran Bulak,Samoilov et al.,2001,Maastrichtian,herbivore,,224071,True,False
occ:1587770,col:127679,Gallimimus,txn:38547,5.0,99.976669,43.816387,fluvial indet.,sandstone,,body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection","1993-1994, 1998, 2006",Bugin Tsav II [HMNS-GIN],Tsogtbaatar and Chinzorig,2010,Maastrichtian,predator,Gallimimus,127679,True,False
occ:1604206,col:168809,Saurolophus,txn:38768,5.0,101.050003,43.501667,terrestrial indet.,not reported,,"body,mold/impression,soft parts",,snapshot,taxonomic,small collection,"surface (in situ),observed (not collected)",1992–1993,"Nemegt, Western Sayr [HMNS-GIN]",Matsumoto et al.,2000,Maastrichtian,herbivore,Saurolophus,168809,True,False
occ:1604207,col:55258,Sauropoda,txn:38653,25.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Matsumoto et al.,2000,Maastrichtian,herbivore,,55258,True,False
occ:1604945,col:226994,Tarchia tumanovae,txn:445632,3.0,99.833054,43.474998,terrestrial indet.,not reported,,body,,,general faunal/floral,outcrop,"surface (in situ),field collection",2007-2008,Hermiin Tsav (KID) [Nemegt Fm.],Park et al.,2021,Maastrichtian,herbivore,Tarchia,226994,True,False
occ:1619349,col:229067,Gallimimus,txn:38547,5.0,99.972221,43.863335,dry floodplain,mudstone,"""This tracksite consists of laminated gray mudstone-yellowish brown siltstone couplets interbedded with eolian yellowish brown sandstone deposited on a distal floodplain""","body,trace",autochthonous,snapshot,paleoecologic,outcrop,"surface (in situ),field collection,observed (not collected)",2009,Bugin Tsav tracksite (KID),Lee et al.,2018,Maastrichtian,predator,Gallimimus,229067,True,False
occ:1619350,col:229067,Theropoda,txn:38513,25.0,99.972221,43.863335,dry floodplain,mudstone,"""This tracksite consists of laminated gray mudstone-yellowish brown siltstone couplets interbedded with eolian yellowish brown sandstone deposited on a distal floodplain""","body,trace",autochthonous,snapshot,paleoecologic,outcrop,"surface (in situ),field collection,observed (not collected)",2009,Bugin Tsav tracksite (KID),Lee et al.,2018,Maastrichtian,predator,,229067,True,False
occ:1619351,col:229067,Theropoda,txn:38513,25.0,99.972221,43.863335,dry floodplain,mudstone,"""This tracksite consists of laminated gray mudstone-yellowish brown siltstone couplets interbedded with eolian yellowish brown sandstone deposited on a distal floodplain""","body,trace",autochthonous,snapshot,paleoecologic,outcrop,"surface (in situ),field collection,observed (not collected)",2009,Bugin Tsav tracksite (KID),Lee et al.,2018,Maastrichtian,predator,,229067,True,False
occ:1619352,col:229067,Deinonychosauria,txn:57260,11.0,99.972221,43.863335,dry floodplain,mudstone,"""This tracksite consists of laminated gray mudstone-yellowish brown siltstone couplets interbedded with eolian yellowish brown sandstone deposited on a distal floodplain""","body,trace",autochthonous,snapshot,paleoecologic,outcrop,"surface (in situ),field collection,observed (not collected)",2009,Bugin Tsav tracksite (KID),Lee et al.,2018,Maastrichtian,predator,,229067,True,False
occ:1619353,col:229067,Ornithomimidae,txn:38539,9.0,99.972221,43.863335,dry floodplain,mudstone,"""This tracksite consists of laminated gray mudstone-yellowish brown siltstone couplets interbedded with eolian yellowish brown sandstone deposited on a distal floodplain""","body,trace",autochthonous,snapshot,paleoecologic,outcrop,"surface (in situ),field collection,observed (not collected)",2009,Bugin Tsav tracksite (KID),Lee et al.,2018,Maastrichtian,predator,,229067,True,False
occ:1626728,col:180786,Anserimimus planinychus,txn:66672,3.0,100.373161,43.443558,terrestrial indet.,sandstone,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",1963–1965,"Tsagan Hushu, general [PMPE]",Bronowicz,2011,Maastrichtian,predator,Anserimimus,180786,True,False
occ:1635340,col:220943,Tarbosaurus,txn:53224,5.0,100.566101,43.608898,terrestrial indet.,not reported,,"body,soft parts",,,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection","1948–1949, 2008–2010","Dragon's Tomb, Altan Ula II [SMPE/KID]",Currie,2016,Maastrichtian,predator,Tarbosaurus,220943,True,False
occ:1635350,col:180710,Saurolophus,txn:38768,5.0,101.031387,43.520557,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Western Sayr, site 30 [PMPE]",Currie,2016,Maastrichtian,herbivore,Saurolophus,180710,True,False
occ:1685254,col:38022,Caenagnathidae,txn:54544,9.0,101.049721,43.52,terrestrial indet.,sandstone,"sandstone and ""sands with silt intercalations""",body,autochthonous,time-averaged,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Northern Sayr, site 26 [PMPE]",Słowiak et al.,2024,Maastrichtian,predator,,38022,True,False
occ:1706141,col:165580,Coralloidoolithus verrucarius,txn:84310,3.0,100.366669,43.479168,terrestrial indet.,"""siliciclastic""",,body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1948–1949, 1967–1969",Tsagan Hushu [MPE/SMGE] (PIN coll. 552),Mikhailov,1994,Maastrichtian,herbivore,Coralloidoolithus,165580,True,True
