species,event_year,kind,obs_redist,env_pred_redist,hist_pred_redist,n_routes
5070,2012,hot,0.0,0.8579545454545454,0.32575757575757575,528
5070,2016,hot,0.0,0.10734463276836158,0.3069679849340866,531
5070,2008,cold,0.0,0.22666666666666666,0.37666666666666665,600
5070,2009,cold,0.0,0.518918918918919,0.3279279279279279,555
5070,2014,cold,0.0,0.7559055118110236,0.35039370078740156,508
5100,2012,hot,0.0,0.4707692307692308,0.3415384615384615,325
5100,2016,hot,0.0,0.3508771929824561,0.2543859649122807,342
5100,2008,cold,0.0,0.5452322738386308,0.4229828850855746,409
5100,2009,cold,0.0,0.5075757575757576,0.45707070707070707,396
5100,2014,cold,0.0,0.32926829268292684,0.3079268292682927,328
5110,2012,hot,0.0,0.1562224183583407,0.4245366284201236,1133
5110,2016,hot,0.0,0.07889733840304182,0.2832699619771863,1052
5110,2008,cold,0.0,0.24384027187765506,0.22514868309260833,1177
5110,2009,cold,0.0,0.2517361111111111,0.2543402777777778,1152
5110,2014,cold,0.0,0.45666356011183595,0.3131407269338304,1073
5170,2012,hot,0.0,0.24725274725274726,0.26373626373626374,182
5170,2016,hot,0.0,0.24022346368715083,0.3743016759776536,179
5170,2008,cold,0.0,0.6322869955156951,0.32286995515695066,223
5170,2009,cold,0.0,0.5297029702970297,0.30198019801980197,202
5170,2014,cold,0.0,0.23699421965317918,0.2774566473988439,173
5190,2012,hot,0.0,0.6166134185303515,0.3546325878594249,626
5190,2016,hot,0.0,0.40458015267175573,0.2748091603053435,655
5190,2008,cold,0.0,0.2857142857142857,0.2113095238095238,672
5190,2009,cold,0.0,0.4143302180685358,0.2336448598130841,642
5190,2014,cold,0.0,0.35852090032154343,0.2990353697749196,622
5290,2012,hot,0.0,0.4309021113243762,0.2504798464491363,1042
5290,2016,hot,0.0,0.24825523429710866,0.2811565304087737,1003
5290,2008,cold,0.0,0.21394910461828465,0.19792648444863337,1061
5290,2009,cold,0.0,0.2466281310211946,0.22447013487475914,1038
5290,2014,cold,0.0,0.3313008130081301,0.2815040650406504,984
5330,2012,hot,0.0,0.4186046511627907,0.24031007751937986,129
5330,2016,hot,0.0,0.42276422764227645,0.14634146341463414,123
5330,2008,cold,0.0,0.2840909090909091,0.3977272727272727,176
5330,2009,cold,0.0,0.4748603351955307,0.41899441340782123,179
5330,2014,cold,0.0,0.6442307692307693,0.25961538461538464,104
540,2012,hot,0.0,0.5405405405405406,0.4864864864864865,111
540,2016,hot,0.0,0.13333333333333333,0.20952380952380953,105
540,2008,cold,0.0,0.2391304347826087,0.30434782608695654,138
540,2009,cold,0.0,0.39344262295081966,0.30327868852459017,122
540,2014,cold,0.0,0.7368421052631579,0.6526315789473685,95
5400,2012,hot,0.0,0.36666666666666664,0.2512820512820513,390
5400,2016,hot,0.0,0.26968973747016706,0.21957040572792363,419
5400,2008,cold,0.0,0.10933940774487472,0.22095671981776766,439
5400,2009,cold,0.0,0.20705882352941177,0.20470588235294118,425
5400,2014,cold,0.0,0.4413265306122449,0.22193877551020408,392
5420,2012,hot,0.0,0.6313725490196078,0.2549019607843137,510
5420,2016,hot,0.0,0.5,0.1991869918699187,492
5420,2008,cold,0.0,0.2840531561461794,0.18604651162790697,602
5420,2009,cold,0.0,0.3848797250859107,0.19243986254295534,582
5420,2014,cold,0.0,0.6257928118393234,0.17547568710359407,473
5460,2012,hot,0.0,0.4714828897338403,0.26996197718631176,263
